CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
853922802,30,MANHATTAN,7/1/2017,8:00:00,1/18/2018,17:35:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO MAN NORTH,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",MAILBOX OUTSIDE,1/18/2018,,UNKNOWN,UNKNOWN,U,,45-64,WHITE HISPANIC,M,998885,241073,40.82836129,-73.9471192,"(40.828361293, -73.947119195)"
486646932,106,QUEENS,7/1/2017,0:01:00,1/12/2018,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,PATROL BORO QUEENS SOUTH,177,SEXUAL ABUSE,RESIDENCE-HOUSE,1/17/2018,,18-24,ASIAN/PAC.ISL,M,,<18,ASIAN/PAC.ISL,F,1028713,187853,40.6821864,-73.83969048,"(40.682186401, -73.839690483)"
413216146,60,BROOKLYN,7/1/2017,14:30:00,7/1/2017,15:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,,PETIT LARCENY,,PATROL BORO BKLYN SOUTH,349,"LARCENY,PETIT OF LICENSE PLATE",STREET,1/12/2018,,UNKNOWN,UNKNOWN,U,,65+,WHITE HISPANIC,F,988106,151414,40.58227988,-73.98611947,"(40.582279884, -73.986119469)"
681254282,52,BRONX,7/1/2017,12:00:00,12/11/2017,18:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,PATROL BORO BRONX,168,SODOMY 1,RESIDENCE - APT. HOUSE,1/11/2018,,25-44,BLACK HISPANIC,M,,<18,BLACK HISPANIC,M,1017542,255919,40.86905853,-73.87963015,"(40.869058532, -73.879630148)"
943943755,30,MANHATTAN,7/1/2017,18:00:00,1/9/2018,16:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,PATROL BORO MAN NORTH,347,PETIT LARCENY-CHECK FROM MAILB,MAILBOX OUTSIDE,1/9/2018,,UNKNOWN,UNKNOWN,U,,45-64,WHITE HISPANIC,M,997108,238893,40.82238058,-73.9535444,"(40.822380578, -73.953544401)"
463175144,10,MANHATTAN,7/1/2017,22:00:00,11/26/2017,6:21:00,ATTEMPTED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO MAN SOUTH,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,1/8/2018,,,,,,45-64,WHITE HISPANIC,M,984623,209859,40.7426993,-73.99865538,"(40.742699299, -73.99865538)"
396633514,10,MANHATTAN,7/1/2017,20:00:00,12/1/2017,10:00:00,ATTEMPTED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,FRONT OF,SEX CRIMES,,PATROL BORO MAN SOUTH,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,1/8/2018,,,,,,UNKNOWN,UNKNOWN,M,984623,209859,40.7426993,-73.99865538,"(40.742699299, -73.99865538)"
358522312,5,MANHATTAN,7/2/2017,12:00:00,1/25/2018,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,113,FELONY,FRONT OF,FORGERY,,PATROL BORO MAN SOUTH,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",RESIDENCE - APT. HOUSE,6/25/2018,,25-44,ASIAN/PAC.ISL,M,,UNKNOWN,ASIAN/PAC.ISL,F,985375,199253,40.71358835,-73.99594336,"(40.713588346, -73.99594336)"
531416963,5,MANHATTAN,7/2/2017,12:00:00,1/25/2018,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,113,FELONY,FRONT OF,FORGERY,,PATROL BORO MAN SOUTH,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",RESIDENCE - APT. HOUSE,6/25/2018,,25-44,ASIAN/PAC.ISL,M,,45-64,ASIAN/PAC.ISL,F,985375,199253,40.71358835,-73.99594336,"(40.713588346, -73.99594336)"
144673036,44,BRONX,7/2/2017,8:00:00,7/2/2017,15:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,361,MISDEMEANOR,,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO BRONX,639,AGGRAVATED HARASSMENT 2,STREET,5/8/2018,,UNKNOWN,WHITE HISPANIC,U,,45-64,WHITE HISPANIC,M,1009281,246441,40.84307155,-73.90953417,"(40.843071553, -73.909534172)"
584156854,47,BRONX,7/2/2017,8:00:00,7/2/2017,15:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO BRONX,639,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,5/8/2018,,UNKNOWN,UNKNOWN,U,,45-64,WHITE HISPANIC,M,1027870,267694,40.90133218,-73.84221138,"(40.901332179, -73.842211382)"
